ingredient_id,unit_name,unit_type,is_default
,cup,volume,1
,g,mass,1
,ml,volume,1
,tbsp,volume,1
,tsp,volume,1
,개,count,1
,구,count,0
,꼬집,misc,0
,단,misc,0
,대,count,0
,뿌리,count,0
,잎,count,0
,접,count,0
,주먹,misc,0
,쪽,count,0
,톨,count,0
,포기,count,0
1,g,mass,1
1,ml,volume,1
1,tbsp,volume,1
1,cup,volume,1
1,tsp,volume,1
2,g,mass,1
2,ml,volume,1
2,tbsp,volume,1
2,cup,volume,1
2,tsp,volume,1
3,g,mass,1
3,ml,volume,1
3,tbsp,volume,1
3,cup,volume,1
3,tsp,volume,1
4,g,mass,1
4,ml,volume,1
4,tbsp,volume,1
4,cup,volume,1
4,tsp,volume,1
5,g,mass,1
5,개,count,1
6,g,mass,1
6,개,count,1
7,g,mass,1
7,ml,volume,1
7,tbsp,volume,1
7,cup,volume,1
7,tsp,volume,1
8,g,mass,1
8,ml,volume,1
8,tbsp,volume,1
8,cup,volume,1
8,tsp,volume,1
9,g,mass,1
9,ml,volume,1
9,tbsp,volume,1
9,cup,volume,1
9,tsp,volume,1
10,g,mass,1
10,ml,volume,1
10,tbsp,volume,1
10,cup,volume,1
10,tsp,volume,1
11,g,mass,1
11,ml,volume,1
11,tbsp,volume,1
11,cup,volume,1
11,tsp,volume,1
12,g,mass,1
12,ml,volume,1
12,tbsp,volume,1
12,cup,volume,1
12,tsp,volume,1
13,g,mass,1
13,ml,volume,1
13,tbsp,volume,1
13,cup,volume,1
13,tsp,volume,1
14,g,mass,1
14,ml,volume,1
14,tbsp,volume,1
14,cup,volume,1
14,tsp,volume,1
15,g,mass,1
15,ml,volume,1
15,tbsp,volume,1
15,cup,volume,1
15,tsp,volume,1
16,g,mass,1
16,ml,volume,1
16,tbsp,volume,1
16,cup,volume,1
16,tsp,volume,1
17,g,mass,1
17,ml,volume,1
17,tbsp,volume,1
17,cup,volume,1
17,tsp,volume,1
18,g,mass,1
18,ml,volume,1
18,tbsp,volume,1
18,cup,volume,1
18,tsp,volume,1
19,g,mass,1
19,ml,volume,1
19,tbsp,volume,1
19,cup,volume,1
19,tsp,volume,1
20,g,mass,1
20,ml,volume,1
20,tbsp,volume,1
20,cup,volume,1
20,tsp,volume,1
21,g,mass,1
21,ml,volume,1
21,tbsp,volume,1
21,cup,volume,1
21,tsp,volume,1
22,g,mass,1
22,ml,volume,1
22,tbsp,volume,1
22,cup,volume,1
22,tsp,volume,1
23,g,mass,1
23,ml,volume,1
23,tbsp,volume,1
23,cup,volume,1
23,tsp,volume,1
24,g,mass,1
24,ml,volume,1
24,tbsp,volume,1
24,cup,volume,1
24,tsp,volume,1
25,g,mass,1
25,ml,volume,1
25,tbsp,volume,1
25,cup,volume,1
25,tsp,volume,1
26,g,mass,1
26,ml,volume,1
26,tbsp,volume,1
26,cup,volume,1
26,tsp,volume,1
27,g,mass,1
27,ml,volume,1
27,tbsp,volume,1
27,cup,volume,1
27,tsp,volume,1
28,g,mass,1
28,ml,volume,1
28,tbsp,volume,1
28,cup,volume,1
28,tsp,volume,1
29,g,mass,1
29,ml,volume,1
29,tbsp,volume,1
29,cup,volume,1
29,tsp,volume,1
30,g,mass,1
30,ml,volume,1
30,tbsp,volume,1
30,cup,volume,1
30,tsp,volume,1
31,g,mass,1
31,ml,volume,1
31,tbsp,volume,1
31,cup,volume,1
31,tsp,volume,1
32,g,mass,1
32,ml,volume,1
32,tbsp,volume,1
32,cup,volume,1
32,tsp,volume,1
33,g,mass,1
33,ml,volume,1
33,tbsp,volume,1
33,cup,volume,1
33,tsp,volume,1
34,g,mass,1
34,ml,volume,1
34,tbsp,volume,1
34,cup,volume,1
34,tsp,volume,1
35,g,mass,1
35,ml,volume,1
35,tbsp,volume,1
35,cup,volume,1
35,tsp,volume,1
36,g,mass,1
36,ml,volume,1
36,tbsp,volume,1
36,cup,volume,1
36,tsp,volume,1
37,g,mass,1
37,ml,volume,1
37,tbsp,volume,1
37,cup,volume,1
37,tsp,volume,1
38,g,mass,1
38,ml,volume,1
38,tbsp,volume,1
38,cup,volume,1
38,tsp,volume,1
39,g,mass,1
39,ml,volume,1
39,tbsp,volume,1
39,cup,volume,1
39,tsp,volume,1
40,g,mass,1
40,ml,volume,1
40,tbsp,volume,1
40,cup,volume,1
40,tsp,volume,1
41,g,mass,1
41,ml,volume,1
41,tbsp,volume,1
41,cup,volume,1
41,tsp,volume,1
42,g,mass,1
42,ml,volume,1
42,tbsp,volume,1
42,cup,volume,1
42,tsp,volume,1
43,g,mass,1
43,ml,volume,1
43,tbsp,volume,1
43,cup,volume,1
43,tsp,volume,1
44,g,mass,1
44,ml,volume,1
44,tbsp,volume,1
44,cup,volume,1
44,tsp,volume,1
45,g,mass,1
45,ml,volume,1
45,tbsp,volume,1
45,cup,volume,1
45,tsp,volume,1
46,g,mass,1
46,ml,volume,1
46,tbsp,volume,1
46,cup,volume,1
46,tsp,volume,1
47,g,mass,1
47,ml,volume,1
47,꼬집,misc,0
47,tbsp,volume,1
47,cup,volume,1
47,tsp,volume,1
48,g,mass,1
48,ml,volume,1
48,꼬집,misc,0
48,tbsp,volume,1
48,cup,volume,1
48,tsp,volume,1
49,g,mass,1
49,ml,volume,1
49,꼬집,misc,0
49,tbsp,volume,1
49,cup,volume,1
49,tsp,volume,1
50,g,mass,1
50,ml,volume,1
50,꼬집,misc,0
50,tbsp,volume,1
50,cup,volume,1
50,tsp,volume,1
51,g,mass,1
51,ml,volume,1
51,꼬집,misc,0
51,tbsp,volume,1
51,cup,volume,1
51,tsp,volume,1
52,g,mass,1
52,ml,volume,1
52,꼬집,misc,0
52,tbsp,volume,1
52,cup,volume,1
52,tsp,volume,1
53,g,mass,1
53,ml,volume,1
53,꼬집,misc,0
