name,unit
해선장,
굴소스,
머스타드,
땅콩버터,
다진 마늘,
다진 생강,
매실액,
홀그레인 머스타드,
홀스레디쉬,
와사비,
삼발,
두반장,
물엿,
조청,
치킨스톡,
비프스톡,
쯔유,
액젓,
춘장,
우스터셔,
액상캬라멜,
케찹,
마요네즈,
토마토 페이스트,
휘핑크림,
그릭 요거트,
토마토 소스,
물,
우유,
간장,
식초,
레몬즙,
라임즙,
맛술,
와인,
핫소스,
스리라챠,
브로스,
생크림,
사워크림,
버터,
참기름,
들기름,
식용유,
올리브유,
바닐라 익스트랙,
소금,꼬집
설탕,꼬집
미원,꼬집
카레가루,꼬집
치킨파우더,꼬집
베이킹 소다,꼬집
전분,꼬집
베이킹 파우더,꼬집
찹쌀가루,꼬집
후추,꼬집
고춧가루,꼬집
다시다,꼬집
카이엔,꼬집
레드페퍼 플레이크,꼬집
건고추,꼬집
페페로치노 홀,꼬집
파프리카 파우더,꼬집
칠리 파우더,꼬집
갈릭 파우더,꼬집
강황,꼬집
어니언 파우더,꼬집
올스파이스,꼬집
양꼬치시즈닝,꼬집
오향분,꼬집
시나몬,꼬집
제스트,꼬집
파마산,꼬집
이스트,꼬집
콘밀,꼬집
튀김가루,꼬집
부침가루,꼬집
들깨가루,꼬집
강력분,꼬집
중력분,꼬집
박력분,꼬집
아몬드 가루,꼬집
타임,꼬집
바질,꼬집
넛맥,꼬집
마조람,꼬집
로즈마리,꼬집
큐민 시드,꼬집
캐러웨이 시드,꼬집
가람 마살라,꼬집
코리앤더,꼬집
커피가루,꼬집
통깨,꼬집
오레가노,꼬집
타라곤,꼬집
세이지,꼬집
딜,꼬집
파슬리 가루,꼬집
양파(소),
양파(중),
양파(대),
당근,
감자(소),
감자(중),
감자(대),
토마토,
피망,
파프리카,
다다기 오이,
가시 오이,
취청 오이,
생강(톨),톨
마늘쪽,"쪽, 구"
통마늘/피마늘,접
생표고버섯,
건표고버섯,
대파(대),"단, 포기, 뿌리, 대"
시금치(단),단
상추(잎),
부추(단),잎
쪽파(단),단
청경채,단
배추(3~9월),포기
배추(10~2월),포기
양배추,포기
쥬키니호박,
애호박,
방울토마토,
