Name,국적,음식 타입,위치,한줄평,추천 메뉴/대표 메뉴,별점,추천인,위치(역 또는 구)
할랄킹,말레이시아,"고기, 면, 밥","서울 동대문구 한빛로 11 1층
https://naver.me/IMyH5WBz",나시르막이 6900원밖에 안 하고 뚬얌에 새우가 많다.,나시르막,★★★★★,,동대문구
솔리드웍스 아이스크림 고려대점,카페,아이스크림,"서울 성북구 고려대로30길 4 1층
https://naver.me/51a5gPUK",과즙함량 아주 높고 식감 잘 살린 안암에서 fine이란 단어 붙어도 되는곳,,★★★★★,민철 김,고려대
시홍쓰,중국,"고기, 밥, 튀김","서울 광진구 능동로17길 5 1층
https://naver.me/F7yfJHBH","잘 볶은 돼지고기, 적절한 매운맛과 라한맛의 기름, 고수가 자아내는 아름다운 삼박자가 있는 마파두부 (11500원) ",마파두부,★★★★★,민철 김,광진구
논현손칼국수,한국,면,"서울 강남구 논현로111길 16
https://naver.me/FHlC058J",사리 무한리필 가능! 논현칼국수의 육수는 육고기와 바닷고기의 감칠맛 상승효과가 무엇인지 제대로 알 수 있는 맛집,,★★★★★,민철 김,논현
왕십리닭곰탕,한국,국물,"경기 성남시 분당구 성남대로 345 정자역프라자
https://naver.me/GbDzGytQ",노계를 썼음에도 딱 알맞은 쫄깃함을 가진 살코기와 극한의 감칠맛과 적절한 매운맛을 지닌 양념의 닭도리탕은 총주방장의 최애 닭도리탕집이다.,,★★★★★,민철 김,성남시
박서방 순대곱창,한국,"곱창, 순대","경기 성남시 분당구 성남대로 295 대림아크로텔
https://naver.me/xxYG5HFv",다양한 내장과 부속이 들어온다. 진국이다.,,★★★★★,민철 김,성남시
서두산 딤섬 2호점,중국,"만두, 면, 볶음밥","서울 송파구 올림픽로32길 18-23
https://naver.me/xExszMyv",식감이 좋고 재료가 실하게 들어있음. 비싸지도 않다.,군만두,★★★★★,민철 김,송파구
흐릇,카페,"디저트, 커피","서울 광진구 군자로 19 1층
https://naver.me/FIfr8Ja5",케이크가 무척 맛있다. 케이크 덕후에게 인정받음.,치즈케이크,★★★★★,"민철 김, 정수 황",광진구
차고버거,미국,"버거, 타코","서울 송파구 오금로11길 61-11 엘엠오피스텔 1층 차고버거
https://naver.me/5chTlhKe","잘 구워진 패티와 양파로 버거의 기본을 완벽하게 잡고 와우포인트가 있는 버거들과 타코를 파는 집입니다. ",,★★★★★,민철 김,송파구
알페도 카페,카페,"디저트, 커피",서울 용산구 이태원로 174 1층 4-5호,튀르키예 등 다양한 나라의 특이한 디저트가 많고 엄청 달다.,"퀴네페, 트레스레체스",★★★★★,"지우 홍, 유현준",용산구
알페도 케밥,튀르키예,케밥,"서울 용산구 이태원로 176
https://naver.me/FOhoStGy",케밥과 피데가 맛있고 특이하다.,"케밥, 피데",★★★★★,"지우 홍, 유현준",용산구
니커버커 베이글,베이커리,샌드위치,"서울 송파구 석촌호수로 268 1층 109~112호
https://naver.me/G9rAK7or",베이글의 겉부분에 아주 맛있는 향신료가 올라가 있고 쫄깃쫄깃한 니커버커베이글입니다.,,★★★★★,민철 김,송파구
써니사이드커피,카페,"디저트, 커피","서울 성북구 고려대로27길 14 1층 써니사이드커피
https://naver.me/GMmyaTlM",제가 개인적으로 안암에서 원탑이라고 생각하는 써니사이드 카페,,★★★★★,민철 김,고려대
쟈니덤플링,중국,만두,"서울 용산구 보광로59길 33
https://naver.me/5PVYjfyV","군만두, 물만두 둘 다 맛있다.",,★★★★★,민철 김,용산구
모로코코,모로코,"고기, 볶음밥","서울 용산구 신흥로 34
https://naver.me/FIfdXqAM",,,★★★★★,지우 홍,용산구
올디스타코,멕시코,타코,"서울 중구 충무로4길 3 1층 (한신빌딩)
https://naver.me/xiqeLfTJ",,,★★★★★,유현준,충무로
갓잇,멕시코,"고기, 면, 타코",,,,★★★★☆,유현준,
지로우라멘,일본,면,서울 마포구 와우산로29가길 79 1층 (서교동),,돈코츠,★★★★☆,태현 박,마포구
멘야시노기,일본,면,서울 서초구 주흥길 3 108호 109호,,츠케멘,★★★★☆,박태순,강남구
샤오바오우육면,중국,면,서울 종로구 삼일대로17길 15,,,★★★★☆,,
오늘은슈림프,이탈리아,해물찜,서울 광진구 뚝섬로23길 59 1층,,,★★★★☆,,
울란바토르,몽골,"고기, 만두, 면, 튀김",서울 중구 광희동1가 몽골타운 2층,무난하게 맛있는 몽골 음식점! 만두가 다양하고 맛있다.,"튀김 만두, 양고기 덮밥",★★★★☆,지우 홍,DDP
춘향미엔 왕십리점,중국,"만두, 볶음밥","서울 성동구 왕십리로21길 26 1층
https://naver.me/5pHPHRWK",치마 깔리게 튀기는 근본 만두집,,★★★★☆,민철 김,왕십리
도코로,카페,"음료, 커피","서울 용산구 이태원로 151
https://naver.me/Fx9vUZgz",특이한 메뉴. 처음 먹어보는데 맛있다.,"아보카도 스무디, 샤케라또",★★★★☆,민철 김,용산구
스아게 성수점,일본,카레,"서울 성동구 왕십리로4길 28-2 2층
https://naver.me/GCad2swP",스프카레가 얼큰해요,,★★★★☆,민철 김,왕십리
서보,태국,"고기, 면","서울 송파구 오금로18길 5
https://naver.me/GFY5hUyn",,,★★★★☆,민철 김,송파구
롸카두들 내쉬빌 핫치킨 이태원점,미국,"버거, 치킨","서울 용산구 녹사평대로40나길 9 1층 롸카두들 핫치킨
https://naver.me/FGF58oxv",맛있는 동선,,★★★★☆,"민철 김, 정수 황",용산구
김영자나주곰탕,한국,"국물, 국밥","서울 관악구 신림로28길 30
https://naver.me/xEA3wbim",서울역과 서울대의 맛집,,★★★★☆,민철 김,신림
높은산,카페,음료,"서울 성동구 성수이로 18-1
https://naver.me/IFItd14e",짜이를 먹어보고 싶은 여러분을 위해 공유합니다,짜이,★★★★☆,민철 김,성수
더빛남,베트남,면,"서울 송파구 오금로18길 5 104호
https://naver.me/5R8HgPp6",맛있긴 하나 30분 웨이팅을 감수할 정도는 아님,,★★★★☆,민철 김,송파구
중국관,중국,"면, 볶음밥","서울특별시 동대문구 제기동 122-623
https://naver.me/xPvWbMy8",시간이 멈춰있기에 더욱 더 가치있는 중국집,,★★★★☆,민철 김,동대문구
육장정,한국,국물,"서울 송파구 오금로16길 9-1 1층 육장정
https://naver.me/5WHDSkSx",갈비 4대와 꼬들한 면은 라면을 먹으면서 부자가 된 기분을 느끼게 해준다. 마지막에 기름기를 완벽히 날려주는 자몽이 있다.,육개장,★★★★☆,민철 김,송파구
꼬따,이탈리아,피자,"서울 송파구 백제고분로46길 31-1 송화빌딩 1층
https://naver.me/x4u0IUyv",화덕에서 구워 빵에서 불향이 남,나폴리 피자,★★★★☆,민철 김,송파구
산월수제비,한국,"국물, 면, 수제비","서울 강남구 삼성로 212-2 은마상가
https://naver.me/FdCgfNAJ",멸치베이스에 딱 밀가루 반죽으로 칼국수랑 수제비를 넣은 정말 기본적인 배치지만 딱 기본에 충실하게 먹고 싶을때 가기 좋습니당.,,★★★★☆,박태순,강남구
강남교자,한국,만두,"서울 서초구 강남대로69길 11 삼미빌딩
https://naver.me/5Fm4dtSb",명동교자에 비해 더 깔끔한 맛이 일품입니다,,★★★★☆,재용 신,서초구
임병주산동칼국수,한국,면,"서울 서초구 강남대로37길 65
https://naver.me/FzSljXEW",해산물+채소 베이스라 부담없이 잘 넘어갑니다,,★★★★☆,재용 신,서초구
베테랑칼국수,한국,면,"전북 전주시 완산구 경기전길 135
https://naver.me/FnmJxIQk","쫄면도 맛있고 칼국수도 무난합니다
",,★★★★☆,재용 신,전주시
백암왕순대,한국,"국밥, 순대","서울 서초구 사평대로55길 139 미성빌딩
https://naver.me/5OQsnpqr",국물이 깔끔하고 건더기가 많음.,,★★★★☆,민철 김,서초구
브릭오븐,미국,피자,"서울 강남구 강남대로102길 31 2층
https://naver.me/xIePc8d6",본토 스타일,프로슈토 풍기,★★★★☆,민철 김,강남구
비밀베이커리,베이커리,샌드위치,"서울 송파구 올림픽로 269 프리미엄 롯데슈퍼 지하1층 비밀베이커리
https://naver.me/IDFHFZxN","가성비 샌드위치 맛집 .재료간의 조화가 아주 좋으며, 가벼운 한끼 식사로 추천합니다.",,★★★★☆,민철 김,송파구
원조손칼국수,한국,"만두, 면","서울 성북구 종암로 113 국승호치과의원
https://naver.me/5neFeTTJ","한식의 강자를 찾기 상당히 어려운 학교 주변 권역에서 묵직한 한방을 가진 맛집입니다. ",,★★★★☆,민철 김,고려대
지우관,중국,면,"서울 성동구 뚝섬로 427-15 B1층
https://naver.me/xFL1MjIx",총평: 잘하는 집은 맞음. 가격대비 만족도 좋음.하지만 회장 본인이 중식에 대한 기준이 매애애우 까다로운 사람이라 회장한테는 soso,,★★★★☆,민철 김,뚝섬
모터시티,이탈리아,양식,"서울 용산구 이태원로 140-1 2층
https://naver.me/FG7ji8uO",,,★★★★☆,민철 김,용산구
옷샬,인도,커리,,,,★★★☆☆,,
이랑칼국수,한국,면,,,,★★★☆☆,,
,,,,,,★★★☆☆,,
이드,할랄,한식,서울 용산구 우사단로10길 15 1층,한식당,,★★★☆☆,재용 신,
박소린두깜풍,할랄,,서울 용산구 보광로59길 9 2층,,,★★★☆☆,재용 신,
후르레스토랑,파키스탄,"면, 밥, 볶음밥",서울 용산구 우사단로10길 20,,,★★★☆☆,재용 신,
핑퐁,중국,"면, 볶음밥",서울 송파구 올림픽로35가길 9 월드마크 푸르지오 1층 135호,일본식 중화요리집,,★★★☆☆,민철 김,
꿰레,멕시코,타코,서울 종로구 보문로1길 9 1층 꿰레,안암 근처 타코 제대로 하는 집,,★★★☆☆,민철 김,
벱,베트남,면,서울 성동구 성수일로4가길 2 1층,,,★★★☆☆,민철 김,
머노까머나,인도,커리,서울 종로구 창경궁로 236 이화빌딩 2층,,,★★★☆☆,민철 김,
