name,address,location_link,latitude,longitude,location_tag_id,uploaded_by,rating,summary,description,price_min,price_max,created_at
할랄킹,서울 동대문구 한빛로 11 1층,https://naver.me/IMyH5WBz,37.57705419,127.0246047,0,1,5,나시르막이 6900원밖에 안 하고 뚬얌에 새우가 많다.,나시르막,0,0,
솔리드웍스 아이스크림 고려대점,서울 성북구 고려대로30길 4 1층,https://naver.me/51a5gPUK,37.58603695,127.0309616,0,1,5,과즙함량 아주 높고 식감 잘 살린 안암에서 fine이란 단어 붙어도 되는곳,후기가 없습니다.,0,0,
시홍쓰,서울 광진구 능동로17길 5 1층,https://naver.me/F7yfJHBH,37.54605503,127.073019,0,1,5,"잘 볶은 돼지고기, 적절한 매운맛과 라한맛의 기름, 고수가 자아내는 아름다운 삼박자가 있는 마파두부 (11500원) ",마파두부,0,0,
논현손칼국수,서울 강남구 논현로111길 16,https://naver.me/FHlC058J,37.50760835,127.0322196,0,1,5,사리 무한리필 가능! 논현칼국수의 육수는 육고기와 바닷고기의 감칠맛 상승효과가 무엇인지 제대로 알 수 있는 맛집,후기가 없습니다.,0,0,
왕십리닭곰탕,경기 성남시 분당구 성남대로 345 정자역프라자,https://naver.me/GbDzGytQ,37.36694183,127.1077025,0,1,5,노계를 썼음에도 딱 알맞은 쫄깃함을 가진 살코기와 극한의 감칠맛과 적절한 매운맛을 지닌 양념의 닭도리탕은 총주방장의 최애 닭도리탕집이다.,후기가 없습니다.,0,0,
박서방 순대곱창,경기 성남시 분당구 성남대로 295 대림아크로텔,https://naver.me/xxYG5HFv,37.36250622,127.1075458,0,1,5,다양한 내장과 부속이 들어온다. 진국이다.,후기가 없습니다.,0,0,
서두산 딤섬 2호점,서울 송파구 올림픽로32길 18-23,https://naver.me/xExszMyv,37.51385061,127.1081643,0,1,5,식감이 좋고 재료가 실하게 들어있음. 비싸지도 않다.,군만두,0,0,
흐릇,서울 광진구 군자로 19 1층,https://naver.me/FIfr8Ja5,37.54500432,127.0710341,0,1,5,케이크가 무척 맛있다. 케이크 덕후에게 인정받음.,치즈케이크,0,0,
차고버거,서울 송파구 오금로11길 61-11 엘엠오피스텔 1층 차고버거,https://naver.me/5chTlhKe,37.51552183,127.113963,0,1,5,잘 구워진 패티와 양파로 버거의 기본을 완벽하게 잡고 와우포인트가 있는 버거들과 타코를 파는 집입니다. ,후기가 없습니다.,0,0,
알페도 카페,서울 용산구 이태원로 174 1층 4-5호,,37.53427944,126.9932351,0,1,5,튀르키예 등 다양한 나라의 특이한 디저트가 많고 엄청 달다.,"퀴네페, 트레스레체스",0,0,
알페도 케밥,서울 용산구 이태원로 176,https://naver.me/FOhoStGy,37.53426783,126.9934259,0,1,5,케밥과 피데가 맛있고 특이하다.,"케밥, 피데",0,0,
니커버커 베이글,서울 송파구 석촌호수로 268 1층 109~112호,https://naver.me/G9rAK7or,37.5097093,127.1057056,0,1,5,베이글의 겉부분에 아주 맛있는 향신료가 올라가 있고 쫄깃쫄깃한 니커버커베이글입니다.,후기가 없습니다.,0,0,
써니사이드커피,서울 성북구 고려대로27길 14 1층 써니사이드커피,https://naver.me/GMmyaTlM,37.58692875,127.0299228,0,1,5,제가 개인적으로 안암에서 원탑이라고 생각하는 써니사이드 카페,후기가 없습니다.,0,0,
쟈니덤플링,서울 용산구 보광로59길 33,https://naver.me/5PVYjfyV,37.533825,126.9921287,0,1,5,"군만두, 물만두 둘 다 맛있다.",후기가 없습니다.,0,0,
모로코코,서울 용산구 신흥로 34,https://naver.me/FIfdXqAM,37.54146786,126.9873068,0,1,5,한줄평이 없습니다.,후기가 없습니다.,0,0,
올디스타코,서울 중구 충무로4길 3 1층 (한신빌딩),https://naver.me/xiqeLfTJ,37.56507385,126.9929797,0,1,5,한줄평이 없습니다.,후기가 없습니다.,0,0,
지로우라멘,서울 마포구 와우산로29가길 79 1층 (서교동),,37.55369769,126.9251721,0,1,4,한줄평이 없습니다.,돈코츠,0,0,
멘야시노기,서울 서초구 주흥길 3 108호 109호,,37.50375587,127.020793,0,1,4,한줄평이 없습니다.,츠케멘,0,0,
샤오바오우육면,서울 종로구 삼일대로17길 15,,37.56908516,126.9866245,0,1,4,한줄평이 없습니다.,후기가 없습니다.,0,0,
오늘은슈림프,서울 광진구 뚝섬로23길 59 1층,,37.53749428,127.0665998,0,1,4,한줄평이 없습니다.,후기가 없습니다.,0,0,
울란바토르,서울 중구 광희동1가 몽골타운 2층,,,,0,1,4,무난하게 맛있는 몽골 음식점! 만두가 다양하고 맛있다.,"튀김 만두, 양고기 덮밥",0,0,
춘향미엔 왕십리점,서울 성동구 왕십리로21길 26 1층,https://naver.me/5pHPHRWK,37.56055536,127.0320135,0,1,4,치마 깔리게 튀기는 근본 만두집,후기가 없습니다.,0,0,
도코로,서울 용산구 이태원로 151,https://naver.me/Fx9vUZgz,37.53447344,126.9907191,0,1,4,특이한 메뉴. 처음 먹어보는데 맛있다.,"아보카도 스무디, 샤케라또",0,0,
스아게 성수점,서울 성동구 왕십리로4길 28-2 2층,https://naver.me/GCad2swP,37.5471178,127.0466111,0,1,4,스프카레가 얼큰해요,후기가 없습니다.,0,0,
서보,서울 송파구 오금로18길 5,https://naver.me/GFY5hUyn,37.51019521,127.1108178,0,1,4,한줄평이 없습니다.,후기가 없습니다.,0,0,
롸카두들 내쉬빌 핫치킨 이태원점,서울 용산구 녹사평대로40나길 9 1층 롸카두들 핫치킨,https://naver.me/FGF58oxv,37.53487432,126.9880372,0,1,4,맛있는 동선,후기가 없습니다.,0,0,
김영자나주곰탕,서울 관악구 신림로28길 30,https://naver.me/xEA3wbim,37.47254763,126.9351186,0,1,4,서울역과 서울대의 맛집,후기가 없습니다.,0,0,
높은산,서울 성동구 성수이로 18-1,https://naver.me/IFItd14e,37.53685382,127.0541476,0,1,4,짜이를 먹어보고 싶은 여러분을 위해 공유합니다,짜이,0,0,
더빛남,서울 송파구 오금로18길 5 104호,https://naver.me/5R8HgPp6,37.51019521,127.1108178,0,1,4,맛있긴 하나 30분 웨이팅을 감수할 정도는 아님,후기가 없습니다.,0,0,
중국관,서울특별시 동대문구 제기동 122-623,https://naver.me/xPvWbMy8,37.58858604,127.0380548,0,1,4,시간이 멈춰있기에 더욱 더 가치있는 중국집,후기가 없습니다.,0,0,
육장정,서울 송파구 오금로16길 9-1 1층 육장정,https://naver.me/5WHDSkSx,37.51067513,127.1089253,0,1,4,갈비 4대와 꼬들한 면은 라면을 먹으면서 부자가 된 기분을 느끼게 해준다. 마지막에 기름기를 완벽히 날려주는 자몽이 있다.,육개장,0,0,
꼬따,서울 송파구 백제고분로46길 31-1 송화빌딩 1층,https://naver.me/x4u0IUyv,37.50736411,127.114555,0,1,4,화덕에서 구워 빵에서 불향이 남,나폴리 피자,0,0,
산월수제비,서울 강남구 삼성로 212-2 은마상가,https://naver.me/FdCgfNAJ,37.49576947,127.062758,0,1,4,멸치베이스에 딱 밀가루 반죽으로 칼국수랑 수제비를 넣은 정말 기본적인 배치지만 딱 기본에 충실하게 먹고 싶을때 가기 좋습니당.,후기가 없습니다.,0,0,
강남교자,서울 서초구 강남대로69길 11 삼미빌딩,https://naver.me/5Fm4dtSb,37.50147549,127.024267,0,1,4,명동교자에 비해 더 깔끔한 맛이 일품입니다,후기가 없습니다.,0,0,
임병주산동칼국수,서울 서초구 강남대로37길 65,https://naver.me/FzSljXEW,37.48456632,127.0299852,0,1,4,해산물+채소 베이스라 부담없이 잘 넘어갑니다,후기가 없습니다.,0,0,
베테랑칼국수,전북 전주시 완산구 경기전길 135,https://naver.me/FnmJxIQk,35.81343214,127.1515496,0,1,4,"쫄면도 맛있고 칼국수도 무난합니다
",후기가 없습니다.,0,0,
백암왕순대,서울 서초구 사평대로55길 139 미성빌딩,https://naver.me/5OQsnpqr,37.5100089,127.0199804,0,1,4,국물이 깔끔하고 건더기가 많음.,후기가 없습니다.,0,0,
브릭오븐,서울 강남구 강남대로102길 31 2층,https://naver.me/xIePc8d6,37.50308761,127.0277484,0,1,4,본토 스타일,프로슈토 풍기,0,0,
비밀베이커리,서울 송파구 올림픽로 269 프리미엄 롯데슈퍼 지하1층 비밀베이커리,https://naver.me/IDFHFZxN,37.51442735,127.1006114,0,1,4,"가성비 샌드위치 맛집 .재료간의 조화가 아주 좋으며, 가벼운 한끼 식사로 추천합니다.",후기가 없습니다.,0,0,
원조손칼국수,서울 성북구 종암로 113 국승호치과의원,https://naver.me/5neFeTTJ,37.6001543,127.0336766,0,1,4,한식의 강자를 찾기 상당히 어려운 학교 주변 권역에서 묵직한 한방을 가진 맛집입니다. ,후기가 없습니다.,0,0,
지우관,서울 성동구 뚝섬로 427-15 B1층,https://naver.me/xFL1MjIx,37.53842858,127.0577722,0,1,4,총평: 잘하는 집은 맞음. 가격대비 만족도 좋음.하지만 회장 본인이 중식에 대한 기준이 매애애우 까다로운 사람이라 회장한테는 soso,후기가 없습니다.,0,0,
모터시티,서울 용산구 이태원로 140-1 2층,https://naver.me/FG7ji8uO,37.53399436,126.9894589,0,1,4,한줄평이 없습니다.,후기가 없습니다.,0,0,
이드,서울 용산구 우사단로10길 15 1층,,37.53326443,126.9964179,0,1,3,한식당,후기가 없습니다.,0,0,
박소린두깜풍,서울 용산구 보광로59길 9 2층,,37.53386716,126.9934514,0,1,3,한줄평이 없습니다.,후기가 없습니다.,0,0,
후르레스토랑,서울 용산구 우사단로10길 20,,37.53308748,126.9966365,0,1,3,한줄평이 없습니다.,후기가 없습니다.,0,0,
핑퐁,서울 송파구 올림픽로35가길 9 월드마크 푸르지오 1층 135호,,37.51748462,127.1034448,0,1,3,일본식 중화요리집,후기가 없습니다.,0,0,
꿰레,서울 종로구 보문로1길 9 1층 꿰레,,37.57637977,127.0224727,0,1,3,안암 근처 타코 제대로 하는 집,후기가 없습니다.,0,0,
벱,서울 성동구 성수일로4가길 2 1층,,37.54208149,127.0539828,0,1,3,한줄평이 없습니다.,후기가 없습니다.,0,0,
