id	category_id	parent_id	parent_name_ko	name_ko	name_en
10	1			한식	Korean
11	1			중식	Chinese
12	1			일식	Japanese
13	1			인도	Indian
14	1			동남아시아	Southeast Asian
15	1			중동	Middle Eastern
16	1			아프리카	African
17	1			양식	Western
18	1			북미	North American
19	1			남미	South American
20	1			북유럽	Nordic
21	1			동유럽	Eastern European
22	1			컨템포러리(퓨전)	Contemporary / Fusion
23	1			몽골/중앙아시아	Mongolian / Central Asian
30	1			카페	Cafe
316	1	10	한식	고기	
329	1	10	한식	해산물	
342	1	10	한식	채소	
355	1	10	한식	디저트	
368	1	10	한식	음료	
381	1	10	한식	밥류	
394	1	10	한식	국물류/스튜류	
407	1	10	한식	면류	
420	1	10	한식	빵류	
430	1	10	한식	곱창	
431	1	10	한식	순대	
432	1	10	한식	튀김	
315	1	11	중식	고기	
328	1	11	중식	해산물	
341	1	11	중식	채소	
354	1	11	중식	디저트	
367	1	11	중식	음료	
380	1	11	중식	밥류	
393	1	11	중식	국물류/스튜류	
406	1	11	중식	면류	
419	1	11	중식	빵류	
434	1	11	중식	만두	
314	1	12	일식	고기	
327	1	12	일식	해산물	
340	1	12	일식	채소	
353	1	12	일식	디저트	
366	1	12	일식	음료	
379	1	12	일식	밥류	
392	1	12	일식	국물류/스튜류	
405	1	12	일식	면류	
418	1	12	일식	빵류	
313	1	13	인도	고기	
326	1	13	인도	해산물	
339	1	13	인도	채소	
352	1	13	인도	디저트	
365	1	13	인도	음료	
378	1	13	인도	밥류	
391	1	13	인도	국물류/스튜류	
404	1	13	인도	면류	
417	1	13	인도	빵류	
435	1	13	인도	커리	
312	1	14	동남아시아	고기	
325	1	14	동남아시아	해산물	
338	1	14	동남아시아	채소	
351	1	14	동남아시아	디저트	
364	1	14	동남아시아	음료	
377	1	14	동남아시아	밥류	
390	1	14	동남아시아	국물류/스튜류	
403	1	14	동남아시아	면류	
416	1	14	동남아시아	빵류	
311	1	15	중동	고기	
324	1	15	중동	해산물	
337	1	15	중동	채소	
350	1	15	중동	디저트	
363	1	15	중동	음료	
376	1	15	중동	밥류	
389	1	15	중동	국물류/스튜류	
402	1	15	중동	면류	
415	1	15	중동	빵류	
310	1	16	아프리카	고기	
323	1	16	아프리카	해산물	
336	1	16	아프리카	채소	
349	1	16	아프리카	디저트	
362	1	16	아프리카	음료	
375	1	16	아프리카	밥류	
388	1	16	아프리카	국물류/스튜류	
401	1	16	아프리카	면류	
414	1	16	아프리카	빵류	
309	1	17	양식	고기	
322	1	17	양식	해산물	
335	1	17	양식	채소	
348	1	17	양식	디저트	
361	1	17	양식	음료	
374	1	17	양식	밥류	
387	1	17	양식	국물류/스튜류	
400	1	17	양식	면류	
413	1	17	양식	빵류	
439	1	17	양식	피자	
308	1	18	북미	고기	
321	1	18	북미	해산물	
334	1	18	북미	채소	
347	1	18	북미	디저트	
360	1	18	북미	음료	
373	1	18	북미	밥류	
386	1	18	북미	국물류/스튜류	
399	1	18	북미	면류	
412	1	18	북미	빵류	
437	1	18	북미	버거	
438	1	18	북미	치킨	
307	1	19	남미	고기	
320	1	19	남미	해산물	
333	1	19	남미	채소	
346	1	19	남미	디저트	
359	1	19	남미	음료	
372	1	19	남미	밥류	
385	1	19	남미	국물류/스튜류	
398	1	19	남미	면류	
411	1	19	남미	빵류	
436	1	19	남미	타코	
306	1	20	북유럽	고기	
319	1	20	북유럽	해산물	
332	1	20	북유럽	채소	
345	1	20	북유럽	디저트	
358	1	20	북유럽	음료	
371	1	20	북유럽	밥류	
384	1	20	북유럽	국물류/스튜류	
397	1	20	북유럽	면류	
410	1	20	북유럽	빵류	
305	1	21	동유럽	고기	
318	1	21	동유럽	해산물	
331	1	21	동유럽	채소	
344	1	21	동유럽	디저트	
357	1	21	동유럽	음료	
370	1	21	동유럽	밥류	
383	1	21	동유럽	국물류/스튜류	
396	1	21	동유럽	면류	
409	1	21	동유럽	빵류	
304	1	22	컨템포러리(퓨전)	고기	
317	1	22	컨템포러리(퓨전)	해산물	
330	1	22	컨템포러리(퓨전)	채소	
343	1	22	컨템포러리(퓨전)	디저트	
356	1	22	컨템포러리(퓨전)	음료	
369	1	22	컨템포러리(퓨전)	밥류	
382	1	22	컨템포러리(퓨전)	국물류/스튜류	
395	1	22	컨템포러리(퓨전)	면류	
408	1	22	컨템포러리(퓨전)	빵류	
421	1	23	몽골/중앙아시아	고기	
422	1	23	몽골/중앙아시아	해산물	
423	1	23	몽골/중앙아시아	채소	
424	1	23	몽골/중앙아시아	디저트	
425	1	23	몽골/중앙아시아	음료	
426	1	23	몽골/중앙아시아	밥류	
427	1	23	몽골/중앙아시아	국물류/스튜류	
428	1	23	몽골/중앙아시아	면류	
429	1	23	몽골/중앙아시아	빵류	
700	1	30	카페	아이스크림	
701	1	30	카페	케이크	
702	1	30	카페	커피/차	
703	1	30	카페	과일주스/에이드	
704	1	30	카페	요거트	
705	1	30	카페	구움과자	
707	1	30	카페	베이커리	
708	1	30	카페	젤라또	
709	1	30	카페	도넛	
710	1	30	카페	빙수	
711	1	30	카페	초콜릿/캔디/마카롱	
712	1	30	카페	샌드위치	
713	1	30	카페	디저트	
1	2			캐주얼	Casual
2	2			아늑함	Cozy
3	2			조용함	Quiet
4	2			데이트 코스	Date Spot
5	2			가족/아이동반	Family Friendly
6	2			단체 모임	Group Dining
7	2			트렌디/힙	Trendy
8	2			늦은 밤	Late Night
9	2			브런치	Brunch
